code,open_date
001217.SZ,20251106
002636.SZ,20251106
000534.SZ,20251107
601877.SH,20251107
000803.SZ,20251110
002897.SZ,20251110
601888.SH,20251111
603628.SH,20251111
000688.SZ,20251112
002326.SZ,20251112
300179.SZ,20251112
001298.SZ,20251113
002317.SZ,20251113
000592.SZ,20251114
002080.SZ,20251114
001332.SZ,20251117
600478.SH,20251117
000620.SZ,20251118
603132.SH,20251118
002153.SZ,20251119
605136.SH,20251119
002805.SZ,20251120
603129.SH,20251120
000505.SZ,20251121
002246.SZ,20251121
000070.SZ,20251124
000681.SZ,20251124
000892.SZ,20251124
002153.SZ,20251125
605598.SH,20251125
688195.SH,20251125
002728.SZ,20251126
002759.SZ,20251126
600105.SH,20251126
002249.SZ,20251127
600103.SH,20251127
600246.SH,20251127
002792.SZ,20251128
603026.SH,20251128
605399.SH,20251128
002544.SZ,20251201
600977.SH,20251201
601155.SH,20251201
000063.SZ,20251202
300638.SZ,20251202
600977.SH,20251202
600408.SH,20251203
603106.SH,20251203
603163.SH,20251203
002353.SZ,20251204
002565.SZ,20251204
300638.SZ,20251204
600151.SH,20251205
603933.SH,20251205
603986.SH,20251205
002149.SZ,20251208
002565.SZ,20251208
603067.SH,20251208
002565.SZ,20251209
603122.SH,20251209
603667.SH,20251209
300394.SZ,20251210
600673.SH,20251210
688205.SH,20251210
003031.SZ,20251211
300548.SZ,20251211
601869.SH,20251211
002202.SZ,20251212
002544.SZ,20251212
600105.SH,20251212
002149.SZ,20251215
002565.SZ,20251215
603929.SH,20251215
002565.SZ,20251216
600151.SH,20251216
600879.SH,20251216
002565.SZ,20251217
600879.SH,20251217
603920.SH,20251217
002759.SZ,20251218
002837.SZ,20251218
301123.SZ,20251218
002149.SZ,20251219
002565.SZ,20251219
600151.SH,20251219
002046.SZ,20251222
002149.SZ,20251222
603698.SH,20251222
002046.SZ,20251223
002414.SZ,20251223
601869.SH,20251223
002759.SZ,20251224
601208.SH,20251224
603929.SH,20251224
002851.SZ,20251225
603698.SH,20251225
605090.SH,20251225
000559.SZ,20251226
603698.SH,20251226
605598.SH,20251226
000547.SZ,20251229
002759.SZ,20251229
002865.SZ,20251229
000547.SZ,20251230
002202.SZ,20251230
002465.SZ,20251230
002342.SZ,20251231
603626.SH,20251231
603667.SH,20251231
002565.SZ,20260105
600345.SH,20260105
600498.SH,20260105
002465.SZ,20260106
600498.SH,20260106
601698.SH,20260106
002151.SZ,20260107
002413.SZ,20260107
002465.SZ,20260107
002202.SZ,20260108
002413.SZ,20260108
002792.SZ,20260108
001208.SZ,20260109
002202.SZ,20260109
002792.SZ,20260109
002131.SZ,20260112
002202.SZ,20260112
603305.SH,20260112
002202.SZ,20260113
300058.SZ,20260113
600118.SH,20260113
000547.SZ,20260114
000681.SZ,20260114
002131.SZ,20260114
002131.SZ,20260115
002465.SZ,20260115
601698.SH,20260115
000681.SZ,20260116
002446.SZ,20260116
601208.SH,20260116
000547.SZ,20260119
002565.SZ,20260119
603698.SH,20260119
600391.SH,20260120
603286.SH,20260120
605376.SH,20260120
002208.SZ,20260121
600955.SH,20260121
600986.SH,20260121
000066.SZ,20260122
001203.SZ,20260122
002342.SZ,20260122
000880.SZ,20260123
002342.SZ,20260123
600391.SH,20260123
000603.SZ,20260126
002865.SZ,20260126
600498.SH,20260126
000506.SZ,20260127
000603.SZ,20260127
601869.SH,20260127
002115.SZ,20260128
600877.SH,20260128
603929.SH,20260128
000506.SZ,20260129
002440.SZ,20260129
603256.SH,20260129
000799.SZ,20260130
002995.SZ,20260130
601069.SH,20260130
000818.SZ,20260202
002149.SZ,20260202
002455.SZ,20260202
002491.SZ,20260203
002606.SZ,20260203
600785.SH,20260203
002165.SZ,20260204
002342.SZ,20260204
600481.SH,20260204
000533.SZ,20260205
002342.SZ,20260205
600481.SH,20260205
000592.SZ,20260206
002361.SZ,20260206
603630.SH,20260206
002455.SZ,20260209
603667.SH,20260209
603881.SH,20260209
601869.SH,20260225
603124.SH,20260225
603256.SH,20260225
002428.SZ,20260226
600078.SH,20260226
603601.SH,20260226
001339.SZ,20260227
002428.SZ,20260227
002478.SZ,20260227
600498.SH,20260302
603093.SH,20260302
603353.SH,20260302
000070.SZ,20260303
000510.SZ,20260303
600498.SH,20260303
002506.SZ,20260304
600635.SH,20260304
601975.SH,20260304
000533.SZ,20260305
002167.SZ,20260305
002877.SZ,20260305
300303.SZ,20260306
600875.SH,20260306
601179.SH,20260306
002648.SZ,20260309
600482.SH,20260309
600821.SH,20260309
000533.SZ,20260310
600821.SH,20260310
688158.SH,20260310
001267.SZ,20260311
002384.SZ,20260311
601778.SH,20260311
600989.SH,20260312
601868.SH,20260312
603757.SH,20260312
002015.SZ,20260313
002487.SZ,20260313
600188.SH,20260313
601611.SH,20260316
603366.SH,20260316
603659.SH,20260316
002636.SZ,20260317
601975.SH,20260317
603929.SH,20260317
000572.SZ,20260318
002565.SZ,20260318
600408.SH,20260318
001287.SZ,20260319
603757.SH,20260319
603881.SH,20260319
000617.SZ,20260320
600996.SH,20260320
605389.SH,20260320
002150.SZ,20260323
002428.SZ,20260323
603026.SH,20260323
000703.SZ,20260324
