code,open_date
002636.SZ,20251106
001217.SZ,20251106
601877.SH,20251107
000534.SZ,20251107
002897.SZ,20251110
000803.SZ,20251110
603628.SH,20251111
601888.SH,20251111
300179.SZ,20251112
000688.SZ,20251112
002326.SZ,20251112
002317.SZ,20251113
001298.SZ,20251113
002080.SZ,20251114
000592.SZ,20251114
600478.SH,20251117
001332.SZ,20251117
000620.SZ,20251118
603132.SH,20251118
002153.SZ,20251119
605136.SH,20251119
002805.SZ,20251120
603129.SH,20251120
002246.SZ,20251121
000505.SZ,20251121
000892.SZ,20251124
000070.SZ,20251124
000681.SZ,20251124
002153.SZ,20251125
688195.SH,20251125
605598.SH,20251125
600105.SH,20251126
002728.SZ,20251126
002759.SZ,20251126
002249.SZ,20251127
600246.SH,20251127
600103.SH,20251127
603026.SH,20251128
605399.SH,20251128
002792.SZ,20251128
002544.SZ,20251201
601155.SH,20251201
600977.SH,20251201
300638.SZ,20251202
000063.SZ,20251202
600977.SH,20251202
603163.SH,20251203
603106.SH,20251203
600408.SH,20251203
300638.SZ,20251204
002353.SZ,20251204
002565.SZ,20251204
603986.SH,20251205
603933.SH,20251205
600151.SH,20251205
603067.SH,20251208
002565.SZ,20251208
002149.SZ,20251208
603667.SH,20251209
603122.SH,20251209
002565.SZ,20251209
300394.SZ,20251210
688205.SH,20251210
600673.SH,20251210
601869.SH,20251211
003031.SZ,20251211
300548.SZ,20251211
002544.SZ,20251212
002202.SZ,20251212
600105.SH,20251212
002149.SZ,20251215
603929.SH,20251215
002565.SZ,20251215
600879.SH,20251216
600151.SH,20251216
002565.SZ,20251216
600879.SH,20251217
603920.SH,20251217
002565.SZ,20251217
002759.SZ,20251218
301123.SZ,20251218
002837.SZ,20251218
002565.SZ,20251219
002149.SZ,20251219
600151.SH,20251219
002149.SZ,20251222
002046.SZ,20251222
603698.SH,20251222
002414.SZ,20251223
601869.SH,20251223
002046.SZ,20251223
603929.SH,20251224
002759.SZ,20251224
601208.SH,20251224
605090.SH,20251225
002851.SZ,20251225
603698.SH,20251225
605598.SH,20251226
000559.SZ,20251226
603698.SH,20251226
002759.SZ,20251229
002865.SZ,20251229
000547.SZ,20251229
002465.SZ,20251230
002202.SZ,20251230
000547.SZ,20251230
002342.SZ,20251231
603626.SH,20251231
603667.SH,20251231
600345.SH,20260105
600498.SH,20260105
002565.SZ,20260105
601698.SH,20260106
002465.SZ,20260106
600498.SH,20260106
002465.SZ,20260107
002151.SZ,20260107
002413.SZ,20260107
002202.SZ,20260108
002792.SZ,20260108
002413.SZ,20260108
002202.SZ,20260109
002792.SZ,20260109
001208.SZ,20260109
002202.SZ,20260112
002131.SZ,20260112
603305.SH,20260112
300058.SZ,20260113
600118.SH,20260113
002202.SZ,20260113
000681.SZ,20260114
002131.SZ,20260114
000547.SZ,20260114
002131.SZ,20260115
002465.SZ,20260115
601698.SH,20260115
002446.SZ,20260116
000681.SZ,20260116
601208.SH,20260116
603698.SH,20260119
000547.SZ,20260119
002565.SZ,20260119
605376.SH,20260120
603286.SH,20260120
600391.SH,20260120
600986.SH,20260121
002208.SZ,20260121
600955.SH,20260121
001203.SZ,20260122
000066.SZ,20260122
002342.SZ,20260122
600391.SH,20260123
002342.SZ,20260123
000880.SZ,20260123
002865.SZ,20260126
600498.SH,20260126
000603.SZ,20260126
601869.SH,20260127
000506.SZ,20260127
